"","Plot","Year","Treat","Trt.num","Spray_frequency","AUDPS_parasite","NMDS1","NMDS2","NMDS3"
"1","1","2017","C->R->P",2,"Never",148.953007786453,-0.121136445312443,0.473695579106563,0.065525302419416
"2","1","2018","C->R->P",2,"Never",142.632837996829,0.322763059304082,0.183881933837002,0.665647366112976
"3","1","2019","C->R->P",2,"Never",116.215687832402,0.0533361350469934,0.669888558392227,-0.134164674577631
"4","10","2017","Control",1,"Always",89.448567093527,0.0514680000525556,-0.551444275531581,-0.320289574088445
"5","10","2018","Control",1,"Always",101.74486334561,0.0366711883786222,-0.267864524283962,0.354542436456104
"6","10","2019","Control",1,"Always",24.3728151469231,-0.791972044993802,-0.0350877358899739,0.180770207465347
"7","11","2017","Control",1,"Always",75.8340766978259,-0.166351089507267,0.627715474691099,0.052331638025038
"8","11","2018","Control",1,"Always",67.4383160501818,0.319830770495434,-0.460897645227829,0.556500786698558
"9","11","2019","Control",1,"Always",20.9445209491119,-0.28236596265307,-0.404915541213197,0.0559737355704438
"10","12","2017","C->R->P",2,"Never",143.77837819972,-0.14265146005432,-0.310137906264746,-0.177914759144378
"11","12","2018","C->R->P",2,"Never",133.084406631576,0.00227378229118686,-0.278838311075964,0.47550399619347
"12","12","2019","C->R->P",2,"Never",106.156073694715,-0.44010591157739,-0.897375117070525,0.0922162154848892
"13","13","2017","C->R->P",2,"Never",130.006942543465,-0.855794110565629,0.11602113908185,0.410385580446031
"14","13","2018","C->R->P",2,"Never",134.665667638072,-0.573268157886447,-0.0809182862819871,0.787233221196228
"15","13","2019","C->R->P",2,"Never",99.3006559890167,-0.772561242285643,-0.127509918994646,0.112067548219528
"16","14","2017","CR->P",3,"Rhiz_epi",123.789020594644,-0.744974346586244,0.0620916574711687,0.253871739955754
"17","14","2018","CR->P",3,"Rhiz_epi",114.861674609487,-0.490176256499244,-0.362686644972662,0.66699490613617
"18","14","2019","CR->P",3,"Rhiz_epi",30.0981277338579,-0.705729065652665,-0.669905328001947,0.05508295710256
"19","15","2017","CR->P",3,"Rhiz_epi",116.916111141636,-0.359153971815029,-0.116133588278378,0.0639941508382613
