"","Plot","Year","Treat","Trt.num","Spray_frequency","log_biomass","AUDPS_parasite","Anthracnose","Rhiz","Rust","grass_zscore","NMDS1","NMDS2"
"1","1","2017","C->R->P",2,"Never",2.98611455717452,148.953007786453,132.68056133967,44.4409788047685,45.5391478144866,NA,-0.189072129618745,0.0658163844566734
"2","1","2018","C->R->P",2,"Never",2.78877941921285,142.632837996829,130.345349688955,22.90796552364,47.506442058804,NA,0.164328326325506,-0.16519779980909
"3","1","2019","C->R->P",2,"Never",2.78103693862113,116.215687832402,99.6804289200939,21.9168109153854,5.98360655737706,NA,-0.157103109909421,-0.0458917775728677
"4","10","2017","Control",1,"Always",2.96151601144895,89.448567093527,85.7672729193693,3.68129417415769,5.17890772128059,NA,-0.190363559389568,0.08765030986166
"5","10","2018","Control",1,"Always",2.89818938586016,101.74486334561,100.84934095755,1.34328358208955,0,NA,0.350951173825966,0.0421373174936272
"6","10","2019","Control",1,"Always",3.17811325231463,24.3728151469231,21.287938275161,2.58487687176212,0,NA,4.10076200801806,0.0618612376681475
"7","11","2017","Control",1,"Always",2.82414028845486,75.8340766978259,69.5039812591547,5.34002099698376,4.33250620347396,NA,-0.195086727816701,0.0646247761510456
"8","11","2018","Control",1,"Always",3.08004589745564,67.4383160501818,66.5962719154548,0.73170731707317,0.819397993311036,NA,0.02825657511802,0.060594200334005
"9","11","2019","Control",1,"Always",3.29622628726116,20.9445209491119,19.1300152555301,1.81450569358178,0,NA,-0.0633495667322089,0.0938483841429201
"10","12","2017","C->R->P",2,"Never",2.87642315789912,143.77837819972,133.521192084637,22.4048546003496,38.3198704027403,NA,-0.155280236778723,0.0766240950704586
"11","12","2018","C->R->P",2,"Never",2.90822865586737,133.084406631576,128.254851246907,4.73774903315759,34.1116855373645,NA,0.0834891799509257,0.023587061306254
"12","12","2019","C->R->P",2,"Never",3.02530586526477,106.156073694715,103.411350164278,2.74472353043781,3,NA,0.0642156987834312,0.239721232302248
"13","13","2017","C->R->P",2,"Never",2.85019682340757,130.006942543465,106.948384451507,34.424985206334,44.9986349724327,NA,-0.117848760537407,0.0683210121879995
"14","13","2018","C->R->P",2,"Never",2.89695093493075,134.665667638072,125.926638811262,3.30828615542975,36.9637948273162,NA,0.155885994304185,0.0775048756671818
"15","13","2019","C->R->P",2,"Never",3.19423674872383,99.3006559890167,96.8506559890167,1.225,3.05,NA,0.424615860783755,0.181388113915012
"16","14","2017","CR->P",3,"Rhiz_epi",2.84316354716139,123.789020594644,119.20063189943,5.53556021200542,17.3231253202601,NA,-0.168978417558125,0.0869207161213201
"17","14","2018","CR->P",3,"Rhiz_epi",2.96804002258464,114.861674609487,110.23513199787,0.930735930735933,31.8905472636816,NA,0.272167349236695,0.269687078177055
"18","14","2019","CR->P",3,"Rhiz_epi",2.97863694838447,30.0981277338579,26.1467107298094,2.50202429149798,1.44939271255061,NA,0.18578374170651,0.240461732518549
"19","15","2017","CR->P",3,"Rhiz_epi",2.82437175596298,116.916111141636,113.217954459608,8.04019866707695,8.70032862431066,NA,-0.168841966589698,0.0637167620319136
"20","15","2018","CR->P",3,"Rhiz_epi",2.8430289795051,101.45368054185,99.176162977447,0.833333333333334,14.6857923497268,NA,-0.0369721866500805,0.083767039978028
"21","15","2019","CR->P",3,"Rhiz_epi",3.03059972196595,29.5300772777573,27.2000524638616,2.33002481389578,0,NA,-0.0499405928412868,0.120186941241112
"22","16","2017","C->R->P",2,"Never",2.8326224530968,139.884983988758,132.946229870758,14.557410095146,43.67280622941,NA,-0.127236786753653,0.0385482311422519
"23","16","2018","C->R->P",2,"Never",2.85825710161304,140.483846754339,134.483846754339,7.93607758361858,36.6208791208791,NA,-0.0571677562767109,0.0694075455741456
"24","16","2019","C->R->P",2,"Never",3.1102529173534,98.6103920620014,90.422182380451,12.3429095876377,0.902714932126698,NA,-0.0703339243488407,0.148641368615925
"25","17","2017","CR->P",3,"Rhiz_epi",2.73786376904898,123.673739290438,118.690165411228,15.8445747800587,34.5959020949533,NA,-0.194733924366724,0.108743818558289
"26","17","2018","CR->P",3,"Rhiz_epi",2.78047321243888,116.62399056357,110.624276934779,4.79677763551003,30.8636363636364,NA,0.0400896299335924,0.0808257009041457
"27","17","2019","CR->P",3,"Rhiz_epi",3.13097669160562,27.4559652537325,24.8120984561778,1.54022060801722,0,NA,-0.0154199590166306,0.142535883766389
"28","18","2017","CR->P",3,"Rhiz_epi",2.79170622440721,120.442316099768,112.499653923235,13.8673296143585,22.4869956089158,NA,-0.156839828213209,0.0596347733595777
"29","18","2018","CR->P",3,"Rhiz_epi",2.88864051145445,122.167600908724,116.539809345449,1.93006993006993,32.0324539636933,NA,0.209217900659831,0.124018288237871
"30","18","2019","CR->P",3,"Rhiz_epi",3.09307130637606,35.8899749806038,34.7507344742747,0.379746835443039,1.89873417721519,NA,0.0498114700920988,0.134801546198828
"31","19","2017","Control",1,"Always",2.94254817788097,65.7164952092998,57.3613313453416,6.82504426604202,5.00198106977768,NA,-0.177571858029338,0.0731102677709493
"32","19","2018","Control",1,"Always",2.91110165308558,69.0072618959571,67.9964913905719,0,0.993640699523052,NA,-0.0772989639911014,0.0900526914147485
"33","19","2019","Control",1,"Always",3.15289959639375,9.22833620594814,8.78057501191829,0.447761194029852,0,NA,-0.0671390617951551,0.15006909409975
"34","2","2017","CR->P",3,"Rhiz_epi",3.01405361027877,123.490149670639,115.725917662046,20.9870316547672,17.9274657231314,NA,-0.196517035451587,0.0772160369252582
