"","Year","Month","Treatment","Plot","prevalence_within_plot","total_leaves","total_infected"
"894","18","June","CRP","58",0.324324324324324,148,48
"895","18","June","CRP","60",0.343283582089552,134,46
"896","18","June","CRP","64",0.338461538461538,130,44
"897","18","March","Always_sprayed","4",0.03125,64,2
"898","18","March","Always_sprayed","10",0.0317460317460317,63,2
"899","18","March","Always_sprayed","11",0,63,0
"900","18","March","Always_sprayed","19",0,62,0
"901","18","March","Always_sprayed","21",0.0327868852459016,61,2
"902","18","March","Always_sprayed","22",0,60,0
"903","18","March","Always_sprayed","31",0,60,0
"904","18","March","Always_sprayed","36",0,61,0
"905","18","March","Always_sprayed","40",0,55,0
"906","18","March","Always_sprayed","43",0.0204081632653061,49,1
"907","18","March","Always_sprayed","50",0,51,0
"908","18","March","Always_sprayed","52",0,58,0
"909","18","March","Always_sprayed","53",0.02,50,1
"910","18","March","Always_sprayed","56",0.0350877192982456,57,2
"911","18","March","Always_sprayed","57",0.0192307692307692,52,1
"912","18","March","Always_sprayed","59",0,50,0
"913","18","March","Control","1",0.0689655172413793,58,4
"914","18","March","Control","7",0.0416666666666667,48,2
"915","18","March","Control","12",0.111111111111111,63,7
"916","18","March","Control","13",0,54,0
"917","18","March","Control","16",0,58,0
"918","18","March","Control","20",0,58,0
"919","18","March","Control","23",0.0172413793103448,58,1
"920","18","March","Control","29",0.0740740740740741,54,4
"921","18","March","Control","30",0.0363636363636364,55,2
"922","18","March","Control","38",0.0357142857142857,56,2
"923","18","March","Control","44",0,53,0
"924","18","March","Control","46",0.0192307692307692,52,1
"925","18","March","Control","54",0.0188679245283019,53,1
"926","18","March","Control","55",0,51,0
"927","18","March","Control","62",0,52,0
"928","18","March","Control","63",0.0784313725490196,51,4
"929","18","March","CR_P","2",0,51,0
"930","18","March","CR_P","6",0.0169491525423729,59,1
"931","18","March","CR_P","14",0.0892857142857143,56,5
"932","18","March","CR_P","15",0.0566037735849057,53,3
"933","18","March","CR_P","17",0.0645161290322581,62,4
"934","18","March","CR_P","18",0,57,0
"935","18","March","CR_P","25",0.0172413793103448,58,1
"936","18","March","CR_P","26",0.0172413793103448,58,1
"937","18","March","CR_P","28",0.037037037037037,54,2
"938","18","March","CR_P","34",0,56,0
"939","18","March","CR_P","35",0,56,0
"940","18","March","CR_P","37",0.0384615384615385,52,2
"941","18","March","CR_P","39",0.0847457627118644,59,5
"942","18","March","CR_P","47",0.0161290322580645,62,1
"943","18","March","CR_P","51",0.0384615384615385,52,2
"944","18","March","CR_P","61",0,56,0
"945","18","March","CRP","3",0.0526315789473684,57,3
"946","18","March","CRP","5",0,54,0
"947","18","March","CRP","8",0,50,0
"948","18","March","CRP","9",0.0655737704918033,61,4
"949","18","March","CRP","24",0.0714285714285714,56,4
"950","18","March","CRP","27",0.0384615384615385,52,2
"951","18","March","CRP","32",0.0344827586206897,58,2
"952","18","March","CRP","33",0,53,0
"953","18","March","CRP","41",0,53,0
"954","18","March","CRP","42",0,55,0
"955","18","March","CRP","45",0,52,0
"956","18","March","CRP","48",0.0212765957446809,47,1
"957","18","March","CRP","49",0.0185185185185185,54,1
"958","18","March","CRP","58",0.0188679245283019,53,1
"959","18","March","CRP","60",0,54,0
